Id,Prediction
0,5570745.900061548
1,3862096.9053085744
2,2901450.1147054434
3,4597303.471937537
4,3637965.7212795615
5,5799665.53439644
6,5005774.602013707
7,2684509.113490045
8,9051025.952125758
9,-833494.4255031049
10,4899639.924440086
11,3804033.600751817
12,6092916.843356669
13,5876311.617679179
14,5513116.626728386
15,5895430.9914500415
16,9590168.649060547
17,2309404.2828176916
18,8527504.627195716
19,3771672.020393282
20,5306673.244369924
21,3865975.2537693083
22,5228121.157235533
23,7158493.1983397305
24,6770129.65399909
25,5229559.743484527
26,2467842.816883534
27,4293963.232583493
28,6074544.114076585
29,5220916.085897833
30,6629805.732259065
31,1175361.576458186
32,2140173.7413208187
33,7643144.841949403
34,2727299.6608935893
35,6453681.382132113
36,5141489.81344977
37,9716770.622098923
38,3436249.021505922
39,4369753.2359057665
40,4731250.938670814
41,3425532.1227216125
42,3786028.05378595
43,9612367.128364801
44,7783962.325414121
45,3255886.5256034434
46,3109100.434411317
47,343449.0657236576
48,2799046.116870165
49,7139628.787209421
50,6418040.063555986
51,6839340.137592763
52,6351258.997114897
53,3079632.8930978775
54,2555411.7681372166
55,5746138.196721435
56,6103967.152546734
57,4326646.01074031
58,6963413.99278006
59,4843262.815495372
60,5434027.903666377
61,5898170.810226023
62,-647202.3445420265
63,2983105.206920892
64,6747271.833619565
65,8687505.165145606
66,5626946.902019531
67,8484098.244939208
68,6681148.662999779
69,4186565.1130479276
70,3088746.419490963
71,3859731.112172663
72,4429779.759185612
73,6326794.976064414
74,6598406.173135728
75,6222231.871483654
76,5595057.993690878
77,3637481.971450329
78,4560241.130384922
79,2609011.517941922
80,8633675.130706668
81,4772548.39727661
82,2741710.803459376
83,7394258.633369923
84,10639576.90263617
85,2240945.634939283
86,4858389.701990485
87,4761672.406200856
88,5339676.157218605
89,7466984.246608645
90,6787957.210347384
91,5146561.061255068
92,4075151.06161505
93,1606600.2974481583
94,8107330.964370102
95,3767640.210073948
96,1636927.914313972
97,4189245.6465420723
98,5781227.7395937145
99,7946662.662813425
100,7651575.959369689
101,2510469.427271366
102,6739939.26910603
103,5928563.27469328
104,6707090.693642974
105,2048158.4308886528
106,7293905.832662731
107,7953188.608839095
108,7133170.728829771
109,4830829.598991483
110,7278266.32797873
111,10010865.572069198
112,7440931.703424871
113,3921778.36479041
114,6140315.278678954
115,5690879.645054638
116,3917398.5405821204
117,7447962.448349029
118,4219083.236323535
119,8502359.592014283
120,7564308.231618881
121,5259032.3958278
122,6679302.106031209
123,7939925.3665907085
124,3529217.694695294
125,-1548906.3091501594
126,5094821.605736196
127,4169716.5719478726
128,8348367.5063275695
129,2999785.338020891
130,4762029.016138226
131,4745587.391064107
132,6923083.253003627
133,6428649.656188518
134,2307831.2244164348
135,172905.9100778699
136,5820074.442055345
137,5485671.272346437
138,10747613.361190021
139,4225734.573330939
140,10381775.934895515
141,5435917.486296743
142,7372183.519251555
143,3459667.5589236915
144,7437661.032491416
145,1584691.7145785093
146,1847101.3917568624
147,4473082.346841067
148,4292279.961790562
149,5359197.844503164
150,6836615.665799916
151,5022969.671775997
152,8021369.68738845
153,10645876.75477165
154,6944807.681649536
155,6292813.466659516
156,6817831.039014667
157,8734962.234219402
158,4701921.622465938
159,2166829.287085414
160,2466248.8939402997
161,7232987.40332073
162,5291415.986373991
163,5913705.025794119
164,7183536.73823747
165,5461430.050392866
166,3389248.5615490675
167,2801141.4965136945
168,5314345.784620315
169,5536193.418299198
170,2757876.4755051136
171,3100589.763748586
172,2001791.3111292124
173,8652190.816717297
174,7578971.462454736
175,2274689.481029451
176,9387701.559577793
177,3914420.002216935
178,5468374.710293353
179,3577340.203319967
180,6048167.574589491
181,3924470.4400449395
182,4934888.11498782
183,4760629.806788683
184,4090495.6860792637
185,4398593.399753243
186,6045468.952920318
187,3839632.682529032
188,7867221.042278349
189,6235326.611898184
190,8254747.201836497
191,3510626.820189804
192,8250363.789896369
193,6640014.80426389
194,6773708.283593267
195,6049910.197477996
196,6855531.733575493
197,2305807.3817718625
198,2638450.03189224
199,4446104.933943212
200,6369069.273204595
201,4199091.194439352
202,6852196.874522328
203,7866332.173835039
204,8024267.88615796
205,8444697.155520499
206,5348477.509342104
207,2059808.86921978
208,5319469.787920952
209,4607053.376306444
210,7298387.324466288
211,5231387.175451338
212,4873175.259839773
213,3572851.1897869706
214,8841052.88306874
215,2033180.210047394
216,6175000.778093755
217,7960018.837414265
218,5283247.423339099
219,4550698.078930616
220,7392924.064316094
221,5829112.282091916
222,7015105.837591857
223,6768362.967065066
224,5397994.111873597
225,5499898.812871397
226,5453723.518163294
227,8383345.616599977
228,4155051.7136499286
229,11300987.85433188
230,7343413.918215781
231,12009635.750639856
232,5050466.812444299
233,4359833.562911481
234,2680708.945392072
235,4110728.108662486
236,7492312.647217542
237,3486295.1306590736
238,8795762.93222332
239,4591348.814009488
240,4294910.542557269
241,5117692.074301034
242,3313219.992269993
243,7779693.19542256
244,1153649.669040084
245,7398116.400306642
246,5699184.302301675
247,5887532.673776299
248,7152240.119473964
249,5670902.015060574
250,1448853.3061310947
251,4912044.319357574
252,8107979.394296795
253,4084961.8566978276
254,7054854.521284133
255,4549348.721422702
256,4970224.006116688
