Id,Prediction
0,4996560.13
1,3304622.795
2,3829394.98
3,3189065.195
4,4038059.085
5,4694114.19
6,4920192.63
7,3621071.29
8,6151702.87
9,4910755.96
10,4338358.695
11,3581925.44
12,9398300.365
13,9982533.59
14,4127848.96
15,5377279.935
16,5333808.83
17,4179775.735
18,7135075.175
19,3790263.25
20,3295760.985
21,7306136.795
22,4853397.37
23,5841064.53
24,4393124.76
25,3353268.955
26,3408330.445
27,4598007.43
28,5103181.92
29,4495592.72
30,5967544.605
31,3261793.67
32,3801531.69
33,6142957.425
34,3153331.515
35,7568299.14
36,4980486.39
37,5581512.395
38,3269050.165
39,4385379.85
40,4427731.06
41,4454341.865
42,4782449.84
43,5446552.985
44,6543594.7
45,3478477.455
46,3737564.185
47,2334605.355
48,4932518.32
49,5120846.375
50,4983855.405
51,3974954.69
52,4516071.835
53,3097067.805
54,3712185.93
55,4578281.045
56,6055753.055
57,4836271.415
58,6084837.305
59,5296017.315
60,4887854.22
61,4731009.795
62,4340870.76
63,3964609.745
64,5640631.845
65,9515577.735
66,5126660.145
67,7867352.685
68,5111845.235
69,5385946.66
70,3883197.335
71,3429227.75
72,4492403.425
73,6503228.11
74,6444283.87
75,4845873.185
76,5496252.85
77,4743327.105
78,5536805.195
79,3782842.465
80,6658491.215
81,5919480.65
82,4729297.515
83,5056421.23
84,8244836.14
85,2113268.14
86,7147751.795
87,7678147.04
88,4798033.385
89,3746383.13
90,5409180.99
91,4934512.5
92,3373216.34
93,3883200.705
94,7228729.855
95,3810288.56
96,4320660.415
97,4868645.675
98,5260005.39
99,6013290.2
100,7096383.89
101,2798048.245
102,4847083.34
103,5024219.435
104,5155230.38
105,2885296.05
106,4849977.115
107,7336054.4
108,6349577.4
109,4523777.925
110,5883455.895
111,5254590.085
112,6121976.345
113,4331057.38
114,4729310.06
115,4349923.4
116,3375252.575
117,5608689.11
118,3433301.325
119,5741691.27
120,6241679.215
121,5295364.975
122,6688133.4
123,5848343.055
124,3123905.65
125,3857693.28
126,5621780.415
127,4243451.095
128,6010304.635
129,4561212.855
130,4520716.435
131,4541414.925
132,6066277.155
133,3449419.85
134,4254418.51
135,3735839.645
136,4903294.75
137,4052266.245
138,5179905.115
139,4767092.74
140,6819380.58
141,3455377.675
142,5578822.265
143,5068514.905
144,5690473.07
145,3810407.78
146,4041279.87
147,3559618.88
148,4885387.72
149,4807915.2
150,5415187.705
151,4230069.315
152,8926545.845
153,7536467.025
154,4508747.14
155,5900488.495
156,5626124.215
157,5881268.93
158,4492501.175
159,4407880.97
160,3409691.75
161,5704074.03
162,5444205.81
163,8483664.9
164,6759930.895
165,4969107.63
166,3917707.975
167,3681690.22
168,4833481.0
169,4455083.885
170,3741377.82
171,3859916.905
172,3882693.205
173,7782667.68
174,7941441.49
175,3369070.45
176,9299126.87
177,4433209.375
178,5609145.265
179,3868913.99
180,5357838.045
181,3788592.935
182,5613543.19
183,4527609.935
184,4222491.28
185,3371410.25
186,4781115.335
187,4720690.145
188,6177436.065
189,5160249.625
190,5306474.43
191,4549381.84
192,6676307.605
193,9433010.2
194,5167324.345
195,10411921.845
196,4754176.335
197,2893875.525
198,4210715.04
199,4882538.52
200,5012402.775
201,4192288.72
202,4929527.225
203,7003646.34
204,5762044.085
205,7586761.69
206,6452779.205
207,4919594.615
208,5496425.23
209,3642945.545
210,5093420.75
211,6140826.77
212,4334948.145
213,3820894.98
214,9710739.86
215,2398320.65
216,5257905.94
217,6918034.525
218,4885734.96
219,3618883.025
220,7106475.025
221,5585219.82
222,6824223.975
223,5513912.895
224,4730532.74
225,5111951.995
226,4310321.085
227,6511602.88
228,3188437.195
229,4562647.51
230,5129358.65
231,7676658.395
232,7098318.005
233,4781496.21
234,3549254.945
235,5154283.09
236,5685400.75
237,3503776.185
238,5852416.45
239,4061805.555
240,5209149.305
241,4951521.31
242,3496150.515
243,5041420.9
244,4572350.73
245,5957513.525
246,5167691.495
247,5256712.81
248,5213592.22
249,5111622.735
250,4966405.68
251,5426484.57
252,6479085.2
253,4157414.085
254,6047820.31
255,5170214.355
256,5079714.925
257,6008904.785
258,4253283.215
259,5006737.1
260,3920124.175
261,6950491.035
262,4756011.39
263,4205288.925
264,2068970.015
265,4356922.78
266,5027941.4
267,7440064.02
268,4808586.375
269,3857978.415
270,3872726.65
271,3642544.865
272,5543783.73
273,4640795.305
274,3731123.32
275,7044879.36
276,6115696.985
277,4878675.485
278,5018540.625
279,4922974.51
280,4732321.33
281,6143500.845
282,4335055.1
283,4506919.46
284,4551689.4
285,4323688.98
286,4647653.65
287,4727033.2
288,5451007.155
289,4103686.885
290,3656140.96
291,4779246.615
292,3787301.685
293,5321584.43
294,4817248.91
295,6255294.825
296,11548828.79
297,5604007.455
298,9210016.375
299,5960582.37
300,4187669.085
301,5044450.09
302,7203307.28
303,7159605.665
304,4314245.63
305,5954998.84
306,4461732.585
307,6883766.845
308,2364064.245
309,3723927.49
310,4854095.19
311,4742083.59
312,4404756.835
313,4901240.085
314,4162095.105
315,3589976.285
316,3445746.48
317,5815491.53
318,6870257.915
319,4167203.765
320,4854913.955
321,4571127.645
322,4506650.165
323,6873605.18
324,3971948.5
325,5139515.05
326,6346939.97
327,3914074.175
328,4718654.975
329,5429726.035
330,6285167.725
331,8998572.325
332,6000040.755
333,6816624.95
334,5809453.52
335,5045573.03
336,4518178.375
337,5898098.44
338,4391647.235
339,3769934.405
340,4774725.99
341,4157937.4
342,6265260.47
343,5008928.88
344,7182694.945
345,4114417.55
346,3865846.805
347,5548942.89
348,3486422.83
349,6362033.325
350,4465740.43
351,5838513.785
352,6344261.255
353,3596430.28
354,3400263.53
355,4336756.82
356,4290043.815
357,3610383.145
358,6354118.66
359,5976041.32
360,5097767.585
361,6311183.955
362,4784976.27
363,5290156.115
364,11187734.675
365,4160361.945
366,4522184.415
367,5293556.89
368,5026674.545
369,5237411.425
370,5293290.12
371,4896228.62
372,7323585.11
373,9460940.155
374,5033142.425
375,4487135.35
376,4925414.745
377,4933063.06
378,6021385.695
379,4299207.77
380,5919811.46
381,3882886.765
382,3688181.035
383,5314152.835
384,5085310.095
385,6539655.04
386,4175203.71
387,5568541.415
388,3961818.765
389,5578703.44
390,5637109.26
391,4206833.19
392,3843259.345
393,5930285.91
394,5080052.345
395,3178997.085
396,6241311.22
397,5992105.875
398,7839739.335
399,5627105.82
400,4841021.46
401,4863483.71
402,3715535.235
403,8105842.25
404,3642631.11
405,3971822.95
406,4794204.745
407,4375835.685
408,2503001.365
409,3604816.595
410,5200569.32
411,4526733.4
412,5153107.97
413,8241321.315
414,5043633.43
415,5859287.65
416,6359884.985
417,3401510.855
418,4649654.465
419,4231095.57
420,4738145.11
421,4227303.815
422,7597165.62
423,3164184.63
424,4231559.905
425,4100400.525
426,4431683.265
427,4210209.79
428,4792826.405
429,4569212.53
430,4581407.83
431,4873928.21
432,2572099.17
433,5392997.46
434,3661370.62
435,4664473.115
436,3761393.335
437,3541096.015
438,3619658.53
439,6677863.56
440,4282921.445
441,4675022.65
442,7692256.505
443,7560274.56
444,4809114.56
445,7164829.085
446,8135636.57
447,4688019.51
448,5998002.545
449,8015084.7
450,5889503.095
451,4896894.05
452,3721191.995
453,5018894.92
454,5075288.55
455,5696707.805
456,3995313.91
457,4724290.76
458,5076040.625
459,3202025.365
460,5328819.525
461,5079794.985
462,8443682.24
463,3498250.57
464,4964031.49
465,4776087.6
466,5875185.92
467,4322931.515
468,4117565.655
469,5341419.065
470,5530857.04
471,5678387.35
472,4579113.555
473,4498705.64
474,6501544.845
475,5264815.58
476,4912522.325
477,4905793.96
478,5194173.48
479,6941943.02
480,4134385.32
481,11212022.955
482,3749691.31
483,5584264.87
484,5617401.905
485,4569799.96
486,3929534.38
487,6876219.325
488,4615971.825
489,3868765.53
490,5157478.575
491,3466515.245
492,4663514.665
493,4421195.225
494,5678289.41
495,5203981.435
496,5072901.805
497,4947440.125
498,4228105.71
499,4898030.94
500,4449505.29
501,2804467.065
502,3960812.795
503,4747465.365
504,4511425.185
505,3812264.505
506,4140266.6
507,4482482.48
508,3811871.665
509,5106228.765
510,4984520.165
511,5032333.12
512,2682778.77
513,9793157.235
514,4248683.64
515,2557860.29
516,3430881.15
517,5016048.315
518,4465396.265
519,4707681.31
520,5364218.47
521,7293565.435
522,6591534.2
523,5063268.39
524,4987921.97
525,6022739.185
526,6178507.555
527,4898901.545
528,6949948.175
529,4663347.455
530,4923088.865
531,5090272.87
532,5743664.8
533,3400067.06
534,5745056.69
535,6164513.08
536,4382936.78
537,4543576.145
538,5151921.97
539,6974317.52
540,5106802.49
541,3844878.465
542,3845255.1
543,5255039.05
544,4235061.12
545,3734016.13
546,3046656.65
547,5329570.175
548,4325744.045
549,4981655.555
550,4850618.41
551,4815384.49
552,5889373.74
553,6141802.83
554,4512772.25
555,5560820.17
556,3607985.07
557,6035807.78
558,4900515.515
559,3514865.705
560,5705868.14
561,6530243.065
562,3783092.155
563,4249994.525
564,4105634.005
565,5211842.68
566,3255623.385
567,6378467.23
568,4621890.415
569,4323398.42
570,6650566.69
571,4483717.865
572,4577901.985
573,4872970.235
574,5303190.435
575,3607310.58
576,11495747.355
577,5128072.665
578,4859552.405
579,3748042.45
580,5020697.35
581,4892293.37
582,5003710.34
583,5883850.975
584,5458241.155
585,7565566.425
586,4963481.235
587,4789373.55
588,8234648.01
589,5431664.925
590,4801805.83
591,4287714.38
592,4918084.795
593,4835774.24
594,5153845.765
595,4705733.295
596,3785644.62
597,3536788.55
598,4568571.19
599,5972856.86
600,8114072.35
601,4804040.505
602,6338980.03
603,4006795.595
604,3685703.34
605,3948890.185
606,3226018.895
607,4681504.025
608,4421579.265
609,6261096.33
610,6541674.705
611,2828936.3
612,6391292.75
613,4865018.725
614,5907787.645
615,3852219.835
616,6269211.42
617,5575306.08
618,6424919.31
619,4026271.0
620,4562033.825
621,11620301.55
622,4463443.445
623,4187989.94
624,3460089.42
625,5918996.735
626,5597099.015
627,4433075.55
628,3698859.075
629,4772197.655
630,8761292.295
631,6599753.785
632,5964328.835
633,6017158.135
634,3240230.165
635,3788924.63
636,5730934.915
637,3796398.17
638,4059725.475
639,5426489.625
640,4316744.255
641,6046509.57
642,3415311.29
643,4661054.955
644,5813301.52
645,3155364.67
646,5889669.35
647,4851635.05
648,4518930.17
649,4578694.35
650,2851505.95
651,4766166.735
652,8171002.69
653,4705461.03
654,3902445.1
655,5637759.205
656,4240832.205
657,4131986.675
658,5594853.8
659,4405555.695
660,7882859.1
661,7581113.475
662,5952013.48
663,5973255.545
664,3946312.78
665,4274563.105
666,4797858.345
667,3740178.405
668,4703261.62
669,5197446.915
670,8199265.145
671,6633410.8
672,4225910.525
673,4997947.31
674,6984613.865
675,4635294.435
676,5224709.06
677,3931974.525
678,4994913.36
679,5824250.005
680,3001991.72
681,4898625.2
682,4059878.305
683,3924699.6
684,4154853.205
685,4863767.86
686,4065602.19
687,2770555.77
688,4583477.255
689,3931096.87
690,4780065.535
691,3849507.23
692,3894571.105
693,4186986.135
694,3535789.075
695,3513198.525
696,5235263.89
697,5547393.505
698,5346736.315
699,4546012.745
700,6814225.755
701,8579600.7
702,5415046.925
703,5863652.88
704,6485251.845
705,7445468.44
706,6046553.44
707,5393671.08
708,5097266.83
709,3771578.17
710,5211865.875
711,9015691.03
712,5002132.515
713,3941403.71
714,4524677.95
715,4915448.245
716,3537441.96
717,3639798.375
718,5350159.26
719,5417982.335
720,6444877.695
721,10086016.17
722,4149580.765
723,3489801.825
724,6009832.055
725,5181587.42
726,3425803.925
727,5781030.61
728,5032321.185
729,4946367.715
730,3828271.525
731,4956015.915
732,3634064.14
733,8288866.15
734,5471305.33
735,3804791.45
736,4064955.345
737,5028331.9
738,3984146.89
739,3477981.035
740,4135968.71
741,4361252.295
742,4713273.12
743,4098675.32
744,7546047.92
745,5585922.145
746,3352530.27
747,4799001.89
748,4605849.34
749,5406757.99
750,8071048.475
751,4023704.415
752,4888440.83
753,2501169.925
754,3163477.105
755,4376328.865
756,3899881.065
757,5132778.155
758,4823522.755
759,5729271.83
760,5372601.555
761,4823006.375
762,3901107.21
763,4634191.76
764,5517183.26
765,4796482.215
766,4441502.58
767,4087844.71
768,5388271.79
769,4102274.41
770,3468974.91
771,4121115.575
772,5304899.295
773,3304531.635
774,3558192.835
775,5002042.09
776,3410310.765
777,3921648.075
778,4200873.315
779,4125713.935
780,3956259.955
781,3768338.215
782,5189631.445
783,3796358.07
784,9036522.07
785,4241585.59
786,6377292.2
787,5041015.06
788,5846131.92
789,5211978.645
790,3972572.985
791,7437952.375
792,3810387.08
793,3638874.98
794,3384492.46
795,5029296.765
796,3534406.375
797,4951231.695
798,4837777.83
799,6044093.655
800,5508688.305
801,9978407.845
802,3800927.11
803,4737929.775
804,9318859.715
805,3554680.995
806,7063970.97
807,5689431.36
808,4858759.965
809,3460406.075
810,5874178.695
811,5957133.62
812,4461180.18
813,5262975.895
814,2505682.37
815,5212685.15
816,5391074.51
817,3800440.035
818,4011091.095
819,3506051.475
820,5066224.495
821,5243691.505
822,4106666.11
823,4758761.345
824,4887107.545
825,5356607.58
826,6313771.155
827,2550036.095
828,6019344.68
829,3867267.02
830,5703076.69
831,6180480.765
832,7195610.01
833,6160563.49
834,4297428.515
835,4972424.555
836,2459504.425
837,6180098.535
838,6201614.535
839,2662123.255
840,3570173.45
841,4808541.445
842,4549353.495
843,3549100.555
844,4554778.7
845,4604986.8
846,6022654.765
847,4238386.035
848,3162863.25
849,3869235.745
850,3584546.655
851,4655107.935
852,10240988.415
853,4024155.77
854,4509536.34
855,5083225.725
856,6256513.485
857,4210251.075
858,4007546.465
859,5825056.78
860,3568317.34
861,5380707.125
862,5351205.415
863,6661696.535
864,5856535.865
865,10928597.465
866,4734085.725
867,3114899.92
868,4857710.295
869,4748603.395
870,3196166.095
871,5065017.16
872,4077941.235
873,5486303.43
874,4967334.135
875,3969158.46
876,4756265.775
877,6235130.695
878,3027592.045
879,5349765.49
880,4272560.775
881,3504117.985
882,7969672.105
883,5611370.965
884,4837416.255
885,5461006.41
886,3993451.81
887,5311284.73
888,3660849.515
889,4957700.085
890,3926837.98
891,5111469.145
892,6454581.225
893,4206577.16
894,5973579.95
895,4628820.55
896,3959293.685
897,4792975.815
898,4148047.895
899,5665568.25
900,3684445.68
901,6009242.4
902,5461038.235
903,5230911.265
904,3437979.03
905,5561565.515
906,7008844.21
907,4699904.7
908,5459764.235
909,4671277.48
910,4765323.98
911,5410944.46
912,4730575.29
913,3825955.89
914,5296807.325
915,4470516.465
916,2041688.58
917,6870765.85
918,4560607.16
919,3707689.71
920,4848113.325
921,3600137.56
922,4897805.1
923,5317602.075
924,5303624.28
925,7122104.265
926,5735331.245
927,4800660.065
928,6330580.8
929,4615887.94
930,5188908.835
931,3759704.025
932,5192712.97
933,6823454.5
934,3657946.045
935,4343642.98
936,4051649.16
937,5152038.82
938,4485653.465
939,6704604.955
940,6802920.655
941,3422944.785
942,3974045.595
943,5215329.97
944,6929012.35
945,3156830.06
946,5720674.045
947,3474391.375
948,4238550.71
949,4295269.0
950,6148845.205
951,3421579.18
952,3841282.065
953,4809088.82
954,5558683.855
955,4399609.805
956,6033139.745
957,10440888.6
958,4706300.4
959,4653641.86
960,5097696.455
961,5549597.61
962,5980681.235
963,6384584.28
964,7549113.42
965,4079680.695
966,4576517.905
967,5291936.885
968,4887067.09
969,4734912.155
970,3318000.77
971,3455403.16
972,3166751.165
973,3131790.245
974,4258553.865
975,3548753.015
976,2946896.385
977,5372663.205
978,4762099.175
979,10383076.015
980,6399773.54
981,2711726.15
982,3879735.015
983,7111123.32
984,9397535.23
985,4689720.9
986,3444228.605
987,4585082.985
988,7040152.62
989,3821194.255
990,9861180.97
991,2561721.185
992,7119247.39
993,5527655.38
994,5963957.315
995,2999805.125
996,5945706.61
997,5676273.235
998,3754616.665
999,6814922.915
1000,5262017.77
1001,7117583.04
1002,4733730.135
1003,4980328.035
1004,4597911.515
1005,5398562.82
1006,5985655.73
1007,5652177.19
1008,3108808.415
1009,4172957.09
1010,3590569.715
1011,7637576.86
1012,4359377.37
1013,3949427.43
1014,5515545.62
1015,4503023.51
1016,5727669.045
1017,4645080.035
1018,4216094.11
1019,5911059.035
1020,5798399.79
1021,4780228.435
1022,5403201.01
1023,4165746.61
1024,7812354.585
1025,3652028.0
1026,4653055.32
1027,5794408.605
1028,5341907.56
1029,4616975.65
1030,5572991.985
1031,4377614.41
1032,2896400.425
1033,7090727.035
1034,5431881.285
1035,3570082.44
1036,4638878.88
1037,5197453.81
1038,5158215.2
1039,5697155.0
1040,3362243.24
1041,4155743.65
1042,2612180.665
1043,4580087.995
1044,5524806.065
1045,6323090.465
1046,5064335.82
1047,5448067.73
1048,4325472.25
1049,4274432.77
1050,4206020.535
1051,3719986.645
1052,3495610.355
1053,4730498.52
1054,6756383.835
1055,2690775.22
1056,6786767.925
1057,5924853.65
1058,3903275.145
1059,5483450.32
1060,5075113.165
1061,4520733.895
1062,5634240.59
1063,6426913.195
1064,5291849.155
1065,5428939.135
1066,6278707.45
1067,5637607.73
1068,6140902.575
1069,4388248.59
1070,4124175.87
1071,3420393.35
1072,5273205.28
1073,5127374.84
1074,6915854.205
1075,3871883.51
1076,5134731.125
1077,4677548.625
1078,3550396.83
1079,4459460.075
1080,4891466.635
1081,6472076.195
1082,3969155.925
1083,5379585.735
1084,4068798.29
1085,2282597.54
1086,5591042.735
1087,5456844.53
1088,5142420.18
1089,3931438.33
1090,5343404.89
1091,4516612.425
1092,3972889.765
1093,5271442.62
1094,9241976.38
1095,4813541.87
1096,3219187.295
1097,4140607.215
1098,4920897.11
1099,4696700.7
1100,4520497.495
1101,6758699.41
1102,4956533.11
1103,4659358.455
1104,5154811.635
1105,6267020.5
1106,4417618.295
1107,5552105.89
1108,5529851.985
1109,5687781.38
1110,5234787.695
1111,4499474.87
1112,3755054.075
1113,3950007.06
1114,4384142.135
1115,4092799.065
1116,4253738.79
1117,5342353.125
1118,5869660.7
1119,3878941.77
1120,5790811.2
1121,3383667.055
1122,5184452.915
1123,6417318.76
1124,3560404.525
1125,4939700.785
1126,5053020.675
1127,3762413.17
1128,5286027.7
1129,4768821.765
1130,4475793.685
1131,4633988.42
1132,5646492.365
1133,3906144.73
1134,5323846.325
1135,2594638.54
1136,5715229.795
1137,3648513.175
1138,5320968.655
1139,5070596.65
1140,9972491.145
1141,5438644.89
1142,5074499.555
1143,3353536.425
1144,4519772.81
1145,4210704.88
1146,5073821.47
1147,9524073.135
1148,4724676.735
1149,10415196.53
1150,4836104.18
1151,3140321.565
1152,5054461.335
1153,4882031.14
1154,4205581.435
1155,3453659.675
1156,3310097.48
1157,4442604.815
1158,4849896.425
1159,4193830.26
1160,4816188.615
1161,4841613.25
1162,4601726.955
1163,4226023.91
1164,4833231.705
1165,6195637.125
1166,4922119.525
1167,5091817.32
1168,4207678.36
1169,6418653.41
1170,4000769.185
1171,4247143.3
1172,2277230.52
1173,6317146.57
1174,3163477.105
1175,4538771.625
1176,5876398.84
1177,5127190.79
1178,4378113.19
1179,5693009.405
1180,5531573.45
1181,5601552.74
1182,5499149.02
1183,3297767.38
1184,4941299.06
1185,3179046.32
1186,4709352.295
1187,4792634.275
1188,6211939.88
1189,5534091.395
1190,5358439.905
1191,6886732.415
1192,5018383.685
1193,4386521.64
1194,9249920.34
1195,3994892.52
1196,2866350.58
1197,4203852.055
1198,4955803.985
1199,5043240.865
1200,13073206.175
1201,4627949.65
1202,4253652.66
1203,3834912.8
1204,3573268.325
1205,3530906.455
1206,6050147.035
1207,4724752.94
1208,5851387.2
1209,4380416.565
1210,4191007.225
1211,9558884.19
1212,5748986.125
1213,5765902.86
1214,5855101.7
1215,5970376.345
1216,5269835.44
1217,3780836.08
1218,4241951.125
1219,5985281.125
1220,4737322.98
1221,5977311.87
1222,5709684.105
1223,6150897.625
1224,4955553.895
1225,5758130.84
1226,4256306.2
1227,10130703.21
1228,5313673.82
1229,4726518.615
1230,4983180.73
1231,6116210.965
1232,3557071.95
1233,5899641.13
1234,5849974.25
1235,3450949.185
1236,4187541.13
1237,4351879.77
1238,4271099.525
1239,5681765.705
1240,3987523.075
1241,4704821.61
1242,6429691.075
1243,4194970.26
1244,4512448.32
1245,4658419.105
1246,4749192.685
1247,5163227.255
1248,3296176.385
1249,4395413.52
1250,5226782.3
1251,3883098.835
1252,4005800.67
1253,6083824.545
1254,4977680.3
1255,3645160.915
1256,4007133.26
1257,4959387.385
1258,5929964.585
1259,3660570.06
1260,5536840.43
1261,5324454.19
1262,5308073.845
1263,3090710.85
1264,5145064.275
1265,4958290.72
1266,3369621.885
1267,5090499.48
1268,4274527.13
1269,6021992.585
1270,3784163.59
1271,6002369.93
1272,5617685.575
1273,3392675.01
1274,3153652.95
1275,5976972.305
1276,4470953.805
1277,4216828.77
1278,5021104.63
1279,4592151.92
1280,5177487.425
1281,5399353.91
1282,5455805.115
1283,3039191.925
1284,5559559.135
1285,6063305.705
1286,2663939.085
1287,4493863.595
1288,3908580.74
1289,3416338.695
1290,3413955.055
1291,5087947.595
1292,11057958.275
1293,5516448.0
1294,4333054.86
1295,4346689.24
1296,7042277.1
1297,5604514.45
1298,3722872.795
1299,4755696.795
1300,5355151.57
1301,4184234.745
1302,5229429.685
1303,4184178.365
1304,9243126.115
1305,4353168.565
1306,4793348.68
1307,4562935.215
1308,8919979.9
1309,4412166.175
1310,5414709.13
1311,4684146.535
1312,3083690.69
1313,5753413.55
1314,5851283.285
1315,5273880.045
1316,4622834.315
1317,5219879.755
1318,6212749.4
1319,6353520.485
1320,5694918.88
1321,4556714.12
1322,5357620.115
1323,3611926.765
1324,7595919.02
1325,4293445.05
1326,4116731.8
1327,6169206.22
1328,4883258.82
1329,4211639.1
1330,5050575.315
1331,4094765.02
1332,5762619.155
1333,3974032.37
1334,4799830.445
1335,4603798.15
1336,3778844.795
1337,4287758.655
1338,4828581.7
1339,4296148.435
1340,4867929.09
1341,5569974.715
1342,4837185.99
1343,2415702.015
1344,12358757.395
1345,3008862.2
1346,4059163.245
1347,3304053.205
1348,4203404.585
1349,5309022.45
1350,3853316.815
1351,9120497.875
1352,5196030.5
1353,4051905.325
1354,4092380.265
1355,3749331.39
1356,4404072.93
1357,3982147.245
1358,6104670.535
